name,kitchen_code,category,food_type,confidence,why,ingredients
French Toast with Choco Syrup,sky-bites,breakfast,egg,high,names eggs,"Bread, eggs, milk, sugar, chocolate syrup"
Fried Rice With Exotic Veg,sky-bites,meals,,unknown,no ingredient list — not guessed from the name alone,
Fried Rice with Manchurian,sky-bites,meals,veg,high,no egg or meat in the name or the ingredient list,"Rice, vegetables, soy sauce, Manchurian"
Fruit Salad,sky-bites,salads,veg,high,no egg or meat in the name or the ingredient list,Seasonal Fruit
Hot Choco Milk,sky-bites,drinks,,unknown,no ingredient list — not guessed from the name alone,
Hot Chocolate Chocolate,sky-bites,drinks,veg,high,no egg or meat in the name or the ingredient list,"Cocoa powder, milk, sugar"
Hot Coffee,sky-bites,drinks,,unknown,no ingredient list — not guessed from the name alone,
Idli Sambar,sky-bites,breakfast,veg,high,no egg or meat in the name or the ingredient list,"Rice, urad dal, sambar dal, vegetables, spices"
Lemon Ice Tea,sky-bites,drinks,veg,high,no egg or meat in the name or the ingredient list,"Tea, lemon, sugar, ice"
Lemonade,sky-bites,drinks,,unknown,no ingredient list — not guessed from the name alone,
Mango Shake,sky-bites,drinks,veg,low,contains ice cream — some contain egg.,"Mango, milk, sugar, ice cream"
Mango Shake (Seasonal),sky-bites,drinks,,unknown,no ingredient list — not guessed from the name alone,
Masala Corn,sky-bites,salads,veg,high,no egg or meat in the name or the ingredient list,"Steamed Corn, Chat Masala, Butter"
Mexican Style Veg Filling Wrap (Atta Wrap),sky-bites,quick-bites,veg,low,contains cheese — vegetarian rennet is usual here but is not guaranteed by the name.,"Tortilla Wrap, Paneer, Capsicum, Corn, Cheese, Tomato, Onion, Fresh Coriander, Spices"
Mix Veg Poha,sky-bites,breakfast,veg,high,no egg or meat in the name or the ingredient list,"Poha, peas, carrot, onion, turmeric, curry leaves"
Mixed Fruits,sky-bites,quick-bites,veg,high,no egg or meat in the name or the ingredient list,"Banana, apple, orange"
Mushroom Croissant (Maida Base),sky-bites,sandwich,veg,low,contains cheese — vegetarian rennet is usual here but is not guaranteed by the name.,"Mushroom, Cream, Butter, Onion, Garlic, Cheese Spread, Parsley"
Omelette w Toast,sky-bites,breakfast,egg,high,"names egg, eggs, omelette","Eggs, onion, tomato, spices, bread, butter"
Oreo Shake,sky-bites,drinks,veg,low,contains ice cream — some contain egg.,"Oreo cookies, milk, ice cream"
Pain Au Chocolat,sky-bites,bakery,veg,low,contains a bread improver — these occasionally carry enzymes of animal origin.,"Maida, Brown Sugar, Dark Chocolate, Salt, Gluten, Improver, Cow Butter, Fresh Cream, Fresh Yeast"
Pancakes w Honey,sky-bites,breakfast,egg,high,names eggs,"Flour, milk, eggs, sugar, honey"
Paneer Croissant (Maida Base),sky-bites,sandwich,veg,low,"contains mayonnaise — eggless mayo is standard in Indian kitchens, but egg mayo exists. Ask the kitchen. contains mayo — eggless mayo is standard in Indian kitchens, but egg mayo exists. Ask the kitchen. contains cheese — vegetarian rennet is usual here but is not guaranteed by the name.","Paneer Tikka, Mayonnaise, Paprika Powder, Salt, Onion, Cheese Spread"
Paneer Gravy With Rice /Wheat Prantha,sky-bites,meals,,unknown,no ingredient list — not guessed from the name alone,
Paneer Jalferzi Wrap (Atta Wrap),sky-bites,quick-bites,veg,high,no egg or meat in the name or the ingredient list,"Tortilla Wrap, Paneer, Capsicum, Tomato, Onion, Fresh Coriander, Spices"
Paneer Puff,sky-bites,bakery,veg,high,no egg or meat in the name or the ingredient list,"Puff pastry, paneer, spices"
Paneer Sandwich,sky-bites,sandwich,veg,high,no egg or meat in the name or the ingredient list,"Bread, paneer, vegetables, butter"
Paneer Tikka Sandwich In Focaccia Bread,sky-bites,sandwich,veg,low,"contains mayonnaise — eggless mayo is standard in Indian kitchens, but egg mayo exists. Ask the kitchen. contains mayo — eggless mayo is standard in Indian kitchens, but egg mayo exists. Ask the kitchen.","Paneer Tikka, Mayonnaise, Paprika Powder, Salt, Onion, Lettuce"
Paneer Wrap,sky-bites,quick-bites,veg,high,no egg or meat in the name or the ingredient list,"Tortilla/roti, paneer, veggies, sauces"
Peach Ice Tea,sky-bites,drinks,veg,high,no egg or meat in the name or the ingredient list,"Black tea, Peach syrup/puree, Lemon juice, Sugar, Cold water, Ice cubes"
Quinoa Khichdi,sky-bites,meals,veg,high,no egg or meat in the name or the ingredient list,"Quinoa, lentils, vegetables, spices"
Quinoa Salad,sky-bites,salads,veg,high,no egg or meat in the name or the ingredient list,"Boiled Quinoa, Cucumber, Tomato, Coriander, Lemon, Salt, Pepper"
Rajma Rice,sky-bites,meals,veg,high,no egg or meat in the name or the ingredient list,"Kidney beans, rice, tomato gravy"
Rajma With Rice Or Prantha,sky-bites,meals,,unknown,no ingredient list — not guessed from the name alone,
Scrambled Egg w Toast,sky-bites,breakfast,egg,high,"names egg, eggs","Eggs, milk, butter, bread"
Sprouts,sky-bites,salads,veg,high,no egg or meat in the name or the ingredient list,"Moong sprouts, onion, tomato, lemon, salt"
Strawberry Shake,sky-bites,drinks,veg,high,no egg or meat in the name or the ingredient list,"Strawberries, milk, sugar, ice"
Strawberry Shake (Seasonal),sky-bites,drinks,veg,low,contains ice cream — some contain egg.,"Fresh strawberries or strawberry puree, Chilled milk, Vanilla ice cream (optional for creaminess), Sugar, Ice cubes"
Stuffed Paratha,sky-bites,breakfast,veg,high,no egg or meat in the name or the ingredient list,"Wheat flour, potato/paneer, spices, oil"
Tea,sky-bites,drinks,,unknown,no ingredient list — not guessed from the name alone,
Three Beans Salad,sky-bites,salads,veg,high,no egg or meat in the name or the ingredient list,"Beans, Fresh Tomato, Onion, Cucumber, Lemon, Coriander, Salt, Pepper"
"Tomato, Cucumber Cheese Sandwich In Brown Bread",sky-bites,sandwich,veg,low,"contains mayonnaise — eggless mayo is standard in Indian kitchens, but egg mayo exists. Ask the kitchen. contains mayo — eggless mayo is standard in Indian kitchens, but egg mayo exists. Ask the kitchen. contains cheese — vegetarian rennet is usual here but is not guaranteed by the name.","Fresh Tomato, Cucumber, Mayonnaise, Cheese Slice, Salt, Pepper"
Vada Pao (Atta Base Bread),sky-bites,quick-bites,veg,high,no egg or meat in the name or the ingredient list,"Potato, Turmeric, Chili Powder, Curry Leaves, Fresh Coriander, Mustard Seed, Oil"
Veg and Cheese Sandwich,sky-bites,sandwich,veg,low,contains cheese — vegetarian rennet is usual here but is not guaranteed by the name.,"Bread, vegetables, cheese, butter"
Veg Chilly Puff (Maida),sky-bites,quick-bites,veg,high,no egg or meat in the name or the ingredient list,"Maida, Salt, Margarine, Butter (Potato Filling)"
Veg Hot Dog,sky-bites,quick-bites,veg,high,no egg or meat in the name or the ingredient list,"Hot dog bun, veggie patty, sauces"
Veg Manchurian With Fried Rice,sky-bites,meals,,unknown,no ingredient list — not guessed from the name alone,
Veg Sandwich In Brown Bread,sky-bites,sandwich,veg,low,"contains mayo — eggless mayo is standard in Indian kitchens, but egg mayo exists. Ask the kitchen. contains cheese — vegetarian rennet is usual here but is not guaranteed by the name.","Capsicum, Corn, Broccoli, Mayo, Cheese Slice, Oregano Mix, Salt, Pepper"
Veggie Wrap,sky-bites,quick-bites,veg,high,no egg or meat in the name or the ingredient list,"Roti, lettuce, cucumber, carrot, sauces"
Wheat Jaggery Cake,sky-bites,bakery,veg,high,no egg or meat in the name or the ingredient list,"Ashirwad Atta, Jaggery, Curd, Baking Soda, Refined Soybean Oil"
