unique id,name,Category,description,Ingredients,Calorie Count,nutritional_info,photo
1751068956808x434891866366537540,Bagels With Cream Cheese,Sandwich,"Bagel with Cream Cheese – A toasted, bagel generously spread with smooth, tangy cream cheese—simple, classic, and deliciously satisfying.","Maida Base Bread, Tomato, Cucumber, Cream Cheese, Salt, Pepper, Mayonnaise",400-430,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754873498951x459144020726113000/BagelCheeseCream%20copy.png
1751068956809x201360143180394180,Veg Chilly Puff (Maida),Quick Bites,"Veg Chilli Puff – Flaky, golden pastry filled with a savoury mix of spiced vegetables—crisp outside, warm and delicious inside.","Maida, Salt, Margarine, Butter (Potato Filling)",300-350,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872812343x901462509771598500/MixVegPuff.jpg
1751068956809x556265520042649150,Aloo & Pea Tikki Cheese Burger (Wheat Burger),Quick Bites,"Aloo & Pea Tikki Cheese Burger (Wheat Burger) – A wholesome burger made with a crispy aloo-pea patty, melted cheese, fresh veggies, and sauces, all tucked into a soft whole wheat bun—flavourful and filling with every bite.","Potato, Green Peas, Corn Flour, Bread Crumb, Salt, Pepper, Oregano Mix, Cheese",350-450,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872938878x728982054273545000/Aloo%20pea%20tikki%20burger%20copy.png
1751068956809x565964505118322900,Boiled Egg Mix In Brown Wheat Multigrain Sub Sandwich,Sandwich,"Boiled Egg Mix in Brown Wheat Multigrain Sub – A nutritious and tasty sub loaded with seasoned boiled egg mix, crisp veggies, and light mayo, all tucked in a hearty multigrain wheat roll—wholesome and satisfying with every bite.","Boiled Egg, Cucumber, Parsley, Mayonnaise, Salt, Pepper",350-420,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754873141116x412803614645805800/EggSub%20copy.png
1751068956809x629236588467374500,Paneer Jalferzi Wrap (Atta Wrap),Quick Bites,"Paneer Jalfrezi Wrap – Spicy paneer strips stir-fried with peppers, onions, and tangy masala, wrapped in a soft whole wheat roti—bold, vibrant, and full of flavour.","Tortilla Wrap, Paneer, Capsicum, Tomato, Onion, Fresh Coriander, Spices",495,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754873246189x634827020218958700/Paneer%20Jalfrezi%20wrap%20copy.png
1751068956809x795650377231993400,Paneer Croissant (Maida Base),Sandwich,"Paneer Croissant – A buttery, flaky croissant filled with spiced paneer and herbs—warm, indulgent, and packed with desi flavour in every bite.","Paneer Tikka, Mayonnaise, Paprika Powder, Salt, Onion, Cheese Spread",450-530,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754873263536x143082324923322620/Paneer%20Croissant%20copy.jpg
1751068956809x796477323085994200,Cheese Garlic Bread (Maida Bread),Quick Bites,"Cheese Garlic Bread – Crisp on the edges, soft inside, and loaded with melted cheese and aromatic garlic—an irresistible savoury treat.","Mozzarella Cheese, Garlic, Butter, Chilli Flakes, Oregano Mix",400-420,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754873369689x616426897876802800/CheeseGarlic%20Bread%20copy.png
1751068956809x907509860918670500,Mushroom Croissant (Maida Base),Sandwich,"Mushroom Croissant – A buttery, flaky croissant filled with creamy sautéed mushrooms and herbs—rich, savoury, and perfectly indulgent.","Mushroom, Cream, Butter, Onion, Garlic, Cheese Spread, Parsley",470-500,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754873388579x379217377345962400/Mushroom%20Croissant%20copy.jpg
1751068956809x950160930414243100,Vada Pao (Atta Base Bread),Quick Bites,"Vada Pav – Mumbai’s iconic street food—spicy potato fritter tucked in a soft pav bun, layered with chutneys and fried green chilli for that perfect desi bite.","Potato, Turmeric, Chili Powder, Curry Leaves, Fresh Coriander, Mustard Seed, Oil",300-350,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754873403303x366691622600059600/Vada%20Pav%20copy.jpg
1751068956810x202618328802040000,Mexican Style Veg Filling Wrap (Atta Wrap),Quick Bites,"Mexican Style Veg Wrap – A bold, zesty mix of sautéed veggies, beans, salsa, and cheese rolled in a soft tortilla—flavour-packed and perfect on the go.","Tortilla Wrap, Paneer, Capsicum, Corn, Cheese, Tomato, Onion, Fresh Coriander, Spices",350-450,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872768190x235598055892187300/MexVegWrap.png
1751068956811x329156539650981000,Veg Manchurian With Fried Rice,Meals,"Veg Manchurian with Rice – Crispy vegetable balls tossed in a spicy Indo-Chinese sauce, served with fragrant fried rice for a flavour-packed, satisfying meal.",,580-620,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872539178x517744921645375360/Veg%20ManchurianRice%20copy.jpg
1751068956811x458739705102099840,Rajma With Rice Or Prantha,Meals,"Rajma with Rice or Parantha – Comforting and hearty kidney beans slow-cooked in spiced tomato gravy, served with fluffy rice or warm parantha for a wholesome North Indian classic.",,450-480,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872557189x700316216700172000/Rajma%20%26%20Rice%20copy.jpg
1751068956811x610991847600959000,Fried Rice With Exotic Veg,Meals,"Veg Fried Rice – Fluffy rice stir-fried with colourful veggies, soy sauce, and spices—a delicious, wholesome Indo-Chinese favourite.",,510-530,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872596824x651095748975403200/Veg%20Fried%20Rice%20copy.jpg
1751068956811x660338023605968600,Egg Roll (Atta Wrap),Quick Bites,"Egg Roll – A soft roti wrapped around a flavourful egg filling, fresh veggies, and tangy sauces—perfectly spiced and easy to grab on the go.",Egg Omelette With Veggies With Mayo Sauce In Brown Wrap,300-320,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872644925x616713545185636100/EGG%20ROLL%20copy.jpg
1751068956811x689699990859977200,Paneer Gravy With Rice /Wheat Prantha,Meals,"Paneer Gravy with Rice or Parantha – Soft paneer cubes simmered in a rich, spiced tomato-based gravy, served with fluffy rice or warm parantha for a comforting and satisfying meal.",,500-570,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872702294x622797077981404000/Paneer%20Rice%20Parantha.png
1751068956811x899033102354014100,Dal Makhni With Rice/Wheat Prantha,Meals,"Dal Makhani with Rice or Parantha – Slow-cooked black lentils in a creamy, buttery gravy served with soft rice or warm parantha—rich, comforting, and full of flavour.",,500-550,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872722242x811017474069904800/DaalMakhanaiRice.png
1751068956811x959695653570769400,Chole Masala With Rice /Wheat Prantha /Wheat Atta Kulcha,Meals,"Chole Masala with Rice, Wheat Parantha or Kulcha – Spicy, tangy chickpeas cooked in a rich, aromatic gravy served with your choice of fluffy rice, crispy wheat parantha, or soft kulcha—a North Indian favourite that never fails to satisfy.",,500-570,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872745319x438229361307079550/Cholle%20rice%20parantha.png
1751068956812x480724353239390100,Corn And Mix Pepper Salad,Salads,"Corn & Mixed Pepper Salad – A crunchy, colourful mix of sweet corn and bell peppers—fresh, juicy, and full of flavour in every bite.","Corn, Mix Capsicum, Mayo, Mustard, Parsley, Salt, Pepper",186,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872486229x703279025853675000/Corn%20pepper%20salad.png
1751068956812x783511747475615000,Bhel Puri Salad,Salads,"Bhelpuri – A crunchy, tangy street-style snack made with puffed rice, sev, chutneys, and fresh veggies—bursting with flavour in every bite.","Bhel, Onion, Tomato, Green Chutney, Saunf Chutney",180,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872504463x647833633270959600/Bhelpuri%20Salad%20copy.jpg
1751068956812x785709064418025300,Aloo Channa Chat (White And Black Channa),Salads,"Aloo Chana Chaat – A zesty mix of boiled potatoes and chickpeas tossed with spices, chutneys, and fresh herbs—tangy, hearty, and full of flavour.","White And Black Channa, Onion, Tomato, Mix Spice, Green Chutney, Tomato Sauce",260,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872521002x202880170127136770/Aloo%20Chana%20Chaat.png
1751068956813x101483837751406690,Banana And Honey Shake,Drinks,"Banana Honey Shake – Smooth, naturally sweet, and packed with goodness—perfect for a tasty energy boost.",,300,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872380495x624946050869049500/Banana%20Honey%20Shake.png
1751068956813x251651141909131170,Mango Shake (Seasonal),Drinks,"Mango Shake – Thick, juicy, and irresistibly sweet—summer’s favourite fruit in every sip.",,180-220,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872399840x464962851321648600/Mango%20Shake%20copy.jpg
1751068956813x468595151498087500,Three Beans Salad,Salads,"3 Bean Salad – A colourful, protein-rich mix of kidney beans, chickpeas, and green beans tossed in a light, tangy dressing—fresh, filling, and full of flavour.","Beans, Fresh Tomato, Onion, Cucumber, Lemon, Coriander, Salt, Pepper",106,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872415344x918762681376623600/3BeanSalad%20copy.jpg
1751068956813x569682156705211260,Quinoa Salad,Salads,"Quinoa Salad – Light, wholesome, and refreshing—fluffy quinoa mixed with crisp veggies and a zesty dressing for a perfect healthy bite.","Boiled Quinoa, Cucumber, Tomato, Coriander, Lemon, Salt, Pepper",,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872428601x912386381338797300/QUINOA%20SALAD%20copy.jpg
1751068956813x621942374217471900,Hot Choco Milk,Drinks,"Hot Chocolate Milk – Warm, smooth, and chocolatey—comfort in a cup for all ages.",,220-280,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872440519x260963796874116100/Hot%20Chocolate%20copy.jpg
1751068956813x664916371811283800,Fruit Salad,Salads,"Fruit Salad – A colourful medley of fresh, juicy fruits—naturally sweet, refreshing, and full of goodness.",Seasonal Fruit,110,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872458707x693520871230647300/Fruit%20Salad.png
1751068956814x489412216784268000,Lemon Ice Tea,Drinks,"Lemon Iced Tea – Cool, citrusy, and refreshing—perfect for a quick sip between busy school hours.",,90-120,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872321290x756653448167112100/Lemon%20Iced%20Tea%20copy.jpg
1751068956814x819085531963631900,Lemonade,Drinks,"Lemonade – Zesty, sweet, and super refreshing—a classic thirst-quencher for any time of day.",,109,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872335303x859375106972114000/Lemonade.png
1751068956814x870381594421953900,Strawberry Shake (Seasonal),Drinks,"Strawberry Shake – Creamy, fruity, and fun—blended with love for a sweet burst of strawberry delight.","Fresh strawberries or strawberry puree, Chilled milk, Vanilla ice cream (optional for creaminess), Sugar, Ice cubes",150-200,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872351390x397410476537185540/Strawberry%20Shake%20copy.jpg
1751068956814x900098835367759000,Peach Ice Tea,Drinks,"Peach Iced Tea – Smooth, fruity, and chilled—peachy goodness in every sip.","Black tea, Peach syrup/puree, Lemon juice, Sugar, Cold water, Ice cubes",100-130,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872365665x176750836605845220/Peach%20Iced%20Tea%20copy.jpg
1751068957564x244673467482757540,"Tomato, Cucumber Cheese Sandwich In Brown Bread",Sandwich,"Tomato, Cucumber Cheese Sandwich In Brown Bread.  Taste the delicious harmony of Fresh Tomato and more.","Fresh Tomato, Cucumber, Mayonnaise, Cheese Slice, Salt, Pepper",420-440,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872031040x521862415525608400/Veg-Cuc-Tom-Cheese-Sandwich%20copy.jpg
1751068957564x483261028215033340,Hot Coffee,Drinks,"Hot Coffee,  a mouthwatering favorite crafted to delight your senses!",,135,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872080095x771711366400012000/Cappuccino%20copy.jpg
1751068957564x545175872992901500,Tea,Drinks,"A steaming cup of Indian tea — bold, spiced, and soul-warming — where every sip awakens your senses and comforts your spirit.",,130,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872101085x990676533142443000/Tea.png
1751068957564x640273735166589400,Cold Coffee,Drinks,"Cold Coffee – Chilled, creamy, and lightly sweet—your perfect pick-me-up on a warm day.",,160,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754872307518x402026593055903040/Cold%20Coffee%20copy.png
1751068957565x156602631589117800,Masala Corn,Salads,"Masala Corn delightfully made with Steamed Corn, and spices. It's a bite of happiness.","Steamed Corn, Chat Masala, Butter",,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754871833365x869954805108934900/MASALA%20CORNS%20copy.jpg
1751068957565x370002508235305800,Brown Wheat Pasta With Veg And Tomato Sauce,Continental,"Brown Wheat Pasta With Veg And Tomato Sauce delightfully made with Boiled Pasta, it's a bite of happiness.","Boiled Pasta, Tomato Sauce, Veggies, Cheese",330-380,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754871887242x732125982287341200/Brown%20Wheat%20Pasta.png
1751068957565x375934141297079360,Brown Wheat Pasta With Mushroom And Pesto Cream Sauce,Continental,Brown Wheat Pasta With Mushroom And Pesto Cream Sauce.  The magic begins with Boiled Pasta and ends in satisfaction.,"Boiled Pasta, Tomato Sauce, Cheese, White Sauce, Mushroom, Seasoning Mix",480-550,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754871900052x887165553885596000/BrownWheat%20Mushroom%20pesto%20pasta.png
1751068957565x800981728189924500,Butter Corn,Salads,"Butter Corn,  steamed corn with butter, salt and seasonings.","Steamed Corn, Butter",,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754871954707x115269067185386200/PLAIN%20BUTTER%20CORNS%20copy.jpg
1751068957566x302678275476653300,Banana And Honey Shake,Drinks,Banana And Honey Shake is a smooth mouthwatering favorite crafted to delight your senses!,"Banana, Milk, Sugar, Ice",300,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754871793895x612874611505700400/BANANA%20SHAKE%20copy.jpg
1779449140805x388231208917267000,Omelette w Toast,Breakfast,Egg omelette served with toasted bread,"Eggs, onion, tomato, spices, bread, butter",~320,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487009316x875579961280836000/Omelette%20with%20Toast.png
1779449140805x998293772833065500,Boiled Eggs (3 pcs),Breakfast,Simple boiled eggs served whole,"Eggs, salt",~210,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487021811x478061451547259000/Boiled%20Eggs%20-%203%20Pieces.png
1779449140806x193032194737593700,Idli Sambar,Breakfast,Steamed rice cakes with lentil soup,"Rice, urad dal, sambar dal, vegetables, spices",~280,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487032445x102485583322428080/Idli%20Sambar.png
1779449140806x206081468704266900,French Toast with Choco Syrup,Breakfast,Sweet fried bread with chocolate syrup,"Bread, eggs, milk, sugar, chocolate syrup",~420,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487051496x886902594295829500/French%20toast%20with%20choco%20syrup.png
1779449140806x346491320241788740,Mix Veg Poha,Breakfast,Flattened rice cooked with vegetables and spices,"Poha, peas, carrot, onion, turmeric, curry leaves",~300,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487062794x950736100404073100/Mixed%20Veg%20poha.png
1779449140806x422240165857332740,Stuffed Paratha,Breakfast,Indian flatbread stuffed with filling,"Wheat flour, potato/paneer, spices, oil",~400,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487077135x580050894582723200/Stuffed%20Parantha.png
1779449140806x477366637079625000,Pancakes w Honey,Breakfast,Soft pancakes topped with honey,"Flour, milk, eggs, sugar, honey",~380,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487089952x317145068216261950/Pancakes%20with%20honey.png
1779449140806x709927428863947400,Scrambled Egg w Toast,Breakfast,Soft scrambled eggs with toasted bread,"Eggs, milk, butter, bread",~350,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487133391x988728738908148100/Scrambled%20Eggs%20and%20Bread.png
1779449140807x283731477430231740,Veggie Wrap,Quick Bites,Mixed vegetables wrapped in flatbread,"Roti, lettuce, cucumber, carrot, sauces",~320,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487144332x329320210137516100/Veggie%20Wrap.png
1779449140807x884156469936501300,Paneer Wrap,Quick Bites,Flatbread rolled with spiced paneer,"Tortilla/roti, paneer, veggies, sauces",~450,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487156815x406087365349873540/Paneer%20Wrap.png
1779449140808x206833398330332540,Mixed Fruits,Quick Bites,Fresh seasonal fruit platter served chilled.,"Banana, apple, orange",120–180,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487202235x771414165578133200/Mixed%20Fruit.png
1779449140808x834907511420349700,Sprouts,Salads,Fresh sprouted legumes salad,"Moong sprouts, onion, tomato, lemon, salt",~180,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487217545x580051300564541200/Sprout%20Salad.png
1779449140809x220913038397098080,Corn and Cheese Puff,Bakery,Flaky puff pastry filled with corn and cheese.,"Puff pastry, cheese, corn",320–400,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487233124x360740641037447200/Corn%20Cheese%20puff.png
1779449140809x406105864955550500,Veg and Cheese Sandwich,Sandwich,Vegetable sandwich topped with melted cheese.,"Bread, vegetables, cheese, butter",360–450,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487254176x365290592604912100/VeggieCheeseSandwich.png
1779449140809x456924985028412900,Corn and Pepper Sandwich,Sandwich,Sweet corn and pepper filling in toasted bread.,"Bread, corn, capsicum, cheese",340–420,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487274228x715808395626004600/Corn%20pepper%20sandwich.png
1779449140809x494690560453747900,Paneer Puff,Bakery,Crispy puff pastry stuffed with spicy paneer filling.,"Puff pastry, paneer, spices",300–380,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487291118x655879426959711300/paneer%20puff.png
1779449140809x655270608909390200,Egg Sandwich,Sandwich,Delicious egg filling layered between toasted bread slices.,"Eggs, bread, mayonnaise, butter",350–430,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487375740x142734394591291120/Egg%20Sandwich%20copy.jpg
1779449140809x908188532520013700,Paneer Sandwich,Sandwich,Grilled sandwich stuffed with flavorful paneer filling.,"Bread, paneer, vegetables, butter",380–450,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487388711x569935425528190500/Paneer%20Sandwich.png
1779449140810x731494902361811600,Chana Rice,Meals,Spiced chickpea curry served with steamed rice.,"Chickpeas, rice, onion, tomato gravy",450–550,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487399693x919200553014092300/Channa%20%26%20Rice%20copy.jpg
1779449140810x752114686422033400,Quinoa Khichdi,Meals,Healthy quinoa-based khichdi cooked with lentils and vegetables.,"Quinoa, lentils, vegetables, spices",350–450,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487411753x739673262138518000/Quinoa%20Khichdi.png
1779449140810x961113269333929200,Rajma Rice,Meals,Traditional rajma curry paired with rice.,"Kidney beans, rice, tomato gravy",480–580,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487422251x907395194766418300/Rajma%20%26%20Rice%20copy.jpg
1779449140811x167420404257264000,Lemon Ice Tea,Drinks,Refreshing chilled lemon iced tea.,"Tea, lemon, sugar, ice",80–140,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487436496x117430366468593840/Lemon%20Iced%20Tea%20copy.jpg
1779449140811x318146422163813950,Hot Chocolate Chocolate,Drinks,Warm and comforting hot chocolate drink.,"Cocoa powder, milk, sugar",300–420,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487445587x819879180232040000/Hot%20Chocolate%20copy.jpg
1779449140811x329057596426032260,Peach Ice Tea,Drinks,Sweet and refreshing peach flavored iced tea.,"Tea, peach syrup, ice",100–160,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487454194x605782077449382500/Peach%20Iced%20Tea%20copy.jpg
1779449140811x332934727636901000,Cold Coffee,Drinks,Chilled creamy coffee beverage served cold.,"Coffee, milk, sugar, ice",250–350,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487467224x704132887350809100/Cold%20Coffee%20copy.png
1779449140811x374358487804802750,Fried Rice with Manchurian,Meals,Indo-Chinese fried rice served with Manchurian balls.,"Rice, vegetables, soy sauce, Manchurian",550–700,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487478209x641964009680002300/Fried%20Rice%20Manchurian.png
1779449140811x569879533872676740,Banana Shake,Drinks,Thick and creamy banana flavored milkshake.,"Banana, milk, sugar, ice cream",300–420,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487487776x804965176846193000/BANANA%20SHAKE%20copy.jpg
1779449140812x575803748111743040,Brownie Shake,Drinks,Rich chocolate brownie blended into a creamy shake.,"Brownie, milk, chocolate ice cream",500–650,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487497480x330042719197170900/Brownie%20Shake.png
1779449140812x650563047183700700,Mango Shake,Drinks,Thick mango milkshake made with fresh mangoes.,"Mango, milk, sugar, ice cream",320–450,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487511344x924026444863693700/Mango%20Shake%20copy.jpg
1779449140812x753190154787433700,Oreo Shake,Drinks,Creamy milkshake blended with Oreo cookies.,"Oreo cookies, milk, ice cream",450–600,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487524103x272634394144960930/OREO%20Shake%20copy.jpg
1779449140813x257214124201923230,Veg Hot Dog,Quick Bites,Soft bun stuffed with veggie filling and sauces.,"Hot dog bun, veggie patty, sauces",350–450,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487550266x355494917184756100/Veg%20hotdog.png
1779449140813x265442094742111900,Chocolate Doughnut,Bakery,Soft doughnut coated with rich chocolate glaze.,"Flour, cocoa, milk, sugar",280–380,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487561338x600332929579468800/Chocolate%20Doughnut.png
1779449140813x342013160528765760,Chocolate Muffin,Bakery,Moist chocolate flavored muffin.,"Flour, cocoa powder, milk, eggs",250–350,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487570771x954629295742914700/Choco%20muffin%20copy.png
1779449140813x687006561270116600,Eggless Brownie,Bakery,Rich and fudgy eggless chocolate brownie.,"Flour, cocoa powder, butter, chocolate",320–420,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487581142x765863867087217600/Eggless%20Brownie.png
1779449140813x858431197571919200,Strawberry Shake,Drinks,Sweet and creamy strawberry flavored shake.,"Strawberries, milk, sugar, ice",320–450,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1779487593481x249927906616814980/Strawberry%20Shake%20copy.jpg
