unique id,dish,menu,price,category,is_active,available_days
1779450090936x915580780425959700,Chocolate Doughnut,School Menu - May 2026,99,Bakery,,
1779450090938x824079560501336200,Chocolate Muffin,School Menu - May 2026,99,Bakery,,
1779450090940x976421670501109100,Cold Coffee,School Menu - May 2026,89,Drinks,,
1779450090941x167159826074260830,Corn and Cheese Puff,School Menu - May 2026,59,Bakery,,
1779450090943x266287832590611520,Corn and Pepper Sandwich,School Menu - May 2026,110,Sandwich,,
1779450090946x386656225842763500,Egg Sandwich,School Menu - May 2026,110,Sandwich,,
1779450090948x652052858979610200,Eggless Brownie,School Menu - May 2026,89,Bakery,,
1779450090950x481966264766693800,French Toast with Choco Syrup,School Menu - May 2026,59,Breakfast,,
1779450090951x762054453519396300,Fried Rice with Manchurian,School Menu - May 2026,130,Meals,,
1779450090953x534068228838848800,Hot Chocolate Chocolate,School Menu - May 2026,99,Drinks,,
1779450090955x437761261383947900,Idli Sambar,School Menu - May 2026,99,Breakfast,,
1779450090957x709922070226878700,Lemon Ice Tea,School Menu - May 2026,99,Drinks,,
1779450090959x237548238458535900,Mango Shake,School Menu - May 2026,99,Drinks,,
1779450090961x476895549405730560,Mix Veg Poha,School Menu - May 2026,110,Breakfast,,
1779450090963x845872118390484200,Mixed Fruits,School Menu - May 2026,110,Quick Bites,,
1779450090965x647609595626265500,Omelette w Toast,School Menu - May 2026,49,Breakfast,,
1779450090967x688951493051733500,Oreo Shake,School Menu - May 2026,110,Drinks,,
1779450090969x354556130576887000,Pancakes w Honey,School Menu - May 2026,69,Breakfast,,
1779450090974x146430547848294560,Paneer Puff,School Menu - May 2026,59,Bakery,,
1779450090976x545045986284165900,Paneer Sandwich,School Menu - May 2026,110,Sandwich,,
1779450090980x810955672649712300,Paneer Wrap,School Menu - May 2026,100,Quick Bites,,
1779450090986x207177353869035140,Peach Ice Tea,School Menu - May 2026,99,Drinks,,
1779450090998x955617280861762000,Quinoa Khichdi,School Menu - May 2026,79,Meals,,
1779450091001x364327038537288800,Rajma Rice,School Menu - May 2026,110,Meals,,
1779450091007x469694414563388560,Scrambled Egg w Toast,School Menu - May 2026,99,Breakfast,,
1779450091016x735411575480046300,Sprouts,School Menu - May 2026,69,Salads,,
1779450091020x449098995689787500,Strawberry Shake,School Menu - May 2026,110,Drinks,,
1779450091022x409185218462185150,Stuffed Paratha,School Menu - May 2026,99,Breakfast,,
1779450091026x668951566970583400,Veg and Cheese Sandwich,School Menu - May 2026,110,Sandwich,,
1779450091028x258400686025299870,Veg Hot Dog,School Menu - May 2026,60,Quick Bites,,
1779450091033x157720677856550980,Veggie Wrap,School Menu - May 2026,100,Quick Bites,,
